estilo,artista,eventos,dia,mes,aÃ±o,trimestre,precios,enlaces
clasica,Johann Strauss Gran Concierto de AÃ±o Nuevo. Strauss Festival Orchestra con ballet,1 Evento,20,1,2024,1,41.0,https://www.entradas.com/artist/strauss-festival-orchestra/
clasica,El Conciertazo en Familia: Las Cuatro Estaciones,1 Evento,16,3,2024,1,18.0,https://www.entradas.com/artist/el-conciertazo-en-familia-las-cuatro-estaciones/
clasica,Schumann y Brahms - Ensemble Praeteritum,1 Evento,16,11,2023,4,12.0,https://www.entradas.com/artist/ensemble-praeteritum/
clasica,Concierto de MÃºsica ClÃ¡sica,1 Evento,2,12,2023,4,13.0,https://www.entradas.com/artist/concierto-de-musica-clasica/
clasica,La Serva Padrona - Aranjuez,1 Evento,25,11,2023,4,15.0,https://www.entradas.com/artist/la-serva-padrona-orquesta-martin-i-soler/
clasica,"Mujer, inspiraciÃ³n y acciÃ³n",1 Evento,19,11,2023,4,4.17,https://www.entradas.com/artist/mujer-inspiracion-y-accion/
clasica,Los Tres Tenores,1 Evento,22,12,2023,4,12.0,https://www.entradas.com/artist/los-tres-tenores/
clasica,Evgeni Kissin,1 Evento,8,1,2024,1,25.0,https://www.entradas.com/artist/evgeni-kissin/
clasica,Ramon Humet & SÃ­lvia Vidal,1 Evento,21,3,2024,1,25.0,https://www.entradas.com/artist/ramon-humet/
clasica,La Novena de Beethoven y OrfeÃ³n Donostiarra,1 Evento,13,12,2023,4,22.0,https://www.entradas.com/artist/novena-de-beethoven-i-orfeon-donostiarra/
clasica,Renaud CapuÃ§on y Orquesta de CÃ¡mara de Lausanne,1 Evento,16,11,2023,4,22.0,https://www.entradas.com/artist/renaud-capucon-i-orquestra-de-cambra-de-lausanne/
clasica,Novena de DvorÃ¡k: SinfonÃ­a del Nuevo Mundo,1 Evento,7,3,2024,1,32.0,https://www.entradas.com/artist/novena-de-dvorak-simfonia-del-nou-mon/
clasica,NÃºria GimÃ©nez-Comas,1 Evento,18,12,2023,4,25.0,https://www.entradas.com/artist/nuria-gimenez-comas/
clasica,"Homenaje a Morricone, Zimmer, Williams, Hisaishi",1 Evento,3,12,2023,4,45.0,https://www.entradas.com/artist/homenaje-a-morriconezimmerwilliamshisaishi/
clasica,Noche de MÃºsica EspaÃ±ola,1 Evento,19,11,2023,4,15.0,https://www.entradas.com/artist/noche-de-musica-espanola/
clasica,Gala de Zarzuela en Navidad,1 Evento,17,12,2023,4,39.0,https://www.entradas.com/artist/gala-de-zarzuela-en-navidad/
clasica,Ton Koopman y Orquesta Barroca de Ãmsterdam,1 Evento,29,4,2024,2,22.0,https://www.entradas.com/artist/ton-koopman-i-lorquestra-barroca-damsterdam/
clasica,Hilary Hahn y Gianandrea Noseda,1 Evento,16,2,2024,1,32.0,https://www.entradas.com/artist/hilary-hahn-i-gianandrea-noseda/
clasica,HÃ©lÃ¨ne Grimaud,1 Evento,27,5,2024,2,22.0,https://www.entradas.com/artist/helene-grimaud/
clasica,Concierto AÃ±o Nuevo - The Orbist Internacional Orquesta,1 Evento,1,1,2024,1,35.0,https://www.entradas.com/artist/the-orbist-internacional-orquesta/
