artista,eventos,dia,mes,año,precios,enlaces
Concierto Sinfónico de Abono A19 (Jueves),1 Evento,25,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a19-jueves-3479314/
Concierto Sinfónico de Abono B10 (Jueves),1 Evento,25,1,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b10-jueves-3479296/
Concierto Sinfónico de Abono B14 (Viernes),1 Evento,1,3,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-b14-viernes-3479305/
JÓVENES MÚSICOS II,1 Evento,2,2,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/jovenes-musicos-ii-3491492/
JÓVENES MÚSICOS III,1 Evento,5,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/jovenes-musicos-iii-3491493/
Concierto Sinfónico de Abono A11 (Jueves),1 Evento,8,2,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a11-jueves-3479298/
Concierto Sinfónico de Abono A17 (Jueves),1 Evento,11,4,2024,"desde 15,00 €",https://www.entradas.com/artist/orquesta-sinfonica-y-coro-de-rtve/concierto-sinfonico-de-abono-a17-jueves-3479310/
Maximiliano Calvo - El Gallo,1 Evento,11,1,2024,"desde 16,50 €",https://www.entradas.com/artist/inverfest/maximiliano-calvo-el-gallo-3503683/
Ricardo Moya,1 Evento,21,1,2024,"desde 16,50 €",https://www.entradas.com/artist/inverfest/ricardo-moya-3503694/
Bestia Bebé,1 Evento,28,1,2024,"desde 13,50 €",https://www.entradas.com/artist/inverfest/bestia-bebe-3077633/
Paul Alone,1 Evento,1,2,2024,"desde 22,00 €",https://www.entradas.com/artist/inverfest/paul-alone-3504465/
McEnroe,1 Evento,13,1,2024,"desde 22,00 €",https://www.entradas.com/artist/inverfest/mcenroe-3503685/
Grande Amore,1 Evento,20,1,2024,"desde 16,50 €",https://www.entradas.com/artist/inverfest/grande-amore-3503693/
Delgao,1 Evento,27,1,2024,"desde 19,80 €",https://www.entradas.com/artist/inverfest/delgao-3504461/
Christina Rosenvinge,1 Evento,10,1,2024,"desde 28,60 €",https://www.entradas.com/artist/inverfest/christina-rosenvinge-2831739/
Rubén Pozo,1 Evento,25,1,2024,"desde 22,00 €",https://www.entradas.com/artist/inverfest/ruben-pozo-3506022/
Ariel Rot - 25 años hablando solo,1 Evento,25,1,2024,"desde 30,80 €",https://www.entradas.com/artist/inverfest/ariel-rot-25-anos-hablando-solo-3504415/
Israel B - EED1HS,1 Evento,25,1,2024,"desde 19,80 €",https://www.entradas.com/artist/inverfest/israel-b-eed1hs-3361884/
Austin TV,1 Evento,31,1,2024,"desde 19,80 €",https://www.entradas.com/artist/inverfest/austin-tv-3491782/
Francisco,4 eventos,12,1,2024,"desde 30,00 €",https://www.entradas.com/artist/francisco/
Francisco,4 eventos,23,3,2024,"desde 30,00 €",https://www.entradas.com/artist/francisco/
Raúl Paz,1 Evento,7,11,2023,"desde 20,00 €",https://www.entradas.com/artist/villanos-del-jazz/raul-paz-3444441/
Mark Guiliana,1 Evento,20,11,2023,"desde 23,00 €",https://www.entradas.com/artist/mark-guiliana/
Billy Cobham Spectrum 50 Project,2 eventos,17,11,2023,"desde 29,00 €",https://www.entradas.com/artist/villanos-del-jazz/billy-cobham-spectrum-50-project-3441649/
Antonio Lizana,1 Evento,30,11,2023,"desde 15,00 €",https://www.entradas.com/artist/villanos-del-jazz/antonio-lizana-2840178/
Shai Maestro,1 Evento,12,11,2023,"desde 21,00 €",https://www.entradas.com/artist/villanos-del-jazz/shai-maestro-3441647/
Antonio Rey y amigos,1 Evento,5,11,2023,"desde 25,00 €",https://www.entradas.com/artist/villanos-del-jazz/antonio-rey-y-amigos-3496020/
Theo Croker Quartet,1 Evento,9,11,2023,"desde 21,00 €",https://www.entradas.com/artist/villanos-del-jazz/theo-croker-quartet-3441607/
Stick Men & Gilipojazz,1 Evento,5,11,2023,"desde 25,00 €",https://www.entradas.com/artist/villanos-del-jazz/stick-men-gilipojazz-3451011/
Scary Pockets,1 Evento,9,2,2024,"desde 28,00 €",https://www.entradas.com/artist/villanos-del-jazz/scary-pockets-3490507/
The Cookers,1 Evento,9,11,2023,"desde 20,00 €",https://www.entradas.com/artist/villanos-del-jazz/the-cookers-3441430/
Richard Bona,2 eventos,10,11,2023,"desde 25,00 €",https://www.entradas.com/artist/villanos-del-jazz/richard-bona-3442563/
Takuya Kuroda,1 Evento,7,11,2023,"desde 21,00 €",https://www.entradas.com/artist/villanos-del-jazz/takuya-kuroda-3441895/
Matthew Halsall,1 Evento,19,11,2023,"desde 20,00 €",https://www.entradas.com/artist/villanos-del-jazz/matthew-halsall-3441508/
Fatoumata Diawara,1 Evento,21,11,2023,"desde 25,00 €",https://www.entradas.com/artist/villanos-del-jazz/fatoumata-diawara-3441856/
Calibro 35,1 Evento,24,11,2023,"desde 21,00 €",https://www.entradas.com/artist/villanos-del-jazz/calibro-35-3495748/
Martirio & Chano Domínguez,1 Evento,14,11,2023,"desde 24,00 €",https://www.entradas.com/artist/villanos-del-jazz/martirio-chano-dominguez-3441440/
Kassa Overall,1 Evento,25,11,2023,"desde 21,00 €",https://www.entradas.com/artist/villanos-del-jazz/kassa-overall-3441668/
Moisés P. Sánchez,1 Evento,18,11,2023,"desde 20,00 €",https://www.entradas.com/artist/villanos-del-jazz/moises-p-sanchez-3441501/
El Kanka: Ruta Firestone 2023,1 Evento,23,11,2023,"desde 35,00 €",https://www.entradas.com/artist/el-kanka/
Nando Agüeros,1 Evento,28,1,2024,"desde 28,00 €",https://www.entradas.com/artist/nando-agueros/
Jason Derulo,2 eventos,6,12,2023,"desde 48,00 €",https://www.entradas.com/artist/jason-derulo/
Jason Derulo,2 eventos,7,12,2023,"desde 48,00 €",https://www.entradas.com/artist/jason-derulo/
Zree and more,1 Evento,15,3,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/zree-and-more-3440669/
“Skybridges”,1 Evento,8,3,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/skybridges-3440668/
Tina Turner Sinfónico,2 eventos,24,5,2024,"desde 30,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/tina-turner-sinfonico-3451288/
Tina Turner Sinfónico,2 eventos,25,5,2024,"desde 30,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/tina-turner-sinfonico-3451288/
Elvis in my life,1 Evento,26,1,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/elvis-in-my-life-3440662/
Concierto Conmemorativo 50 Aniversario,1 Evento,1,12,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-conmemorativo-50-aniversario-3504147/
Lo sugerente,1 Evento,5,4,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/lo-sugerente-3440671/
"Walking Jazz ""AtriLogy""",1 Evento,22,3,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/walking-jazz-atrilogy-3440670/
Lara Bello flamenco,1 Evento,12,4,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/lara-bello-flamenco-3440672/
“Dedication II”,1 Evento,16,2,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/dedication-ii-3440665/
Bloomsound,1 Evento,24,5,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/bloomsound-3440676/
Orquesta Sinfónica de Castilla León,1 Evento,11,11,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/orquesta-sinfonica-de-castilla-leon-3436297/
Celtiberia Jazz,1 Evento,19,4,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/celtiberia-jazz-3440673/
“De aquí”,1 Evento,2,2,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/de-aqui-3440663/
Joni Jiménez,1 Evento,31,5,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/joni-jimenez-3440485/
Antonio Reyes (flamenco),1 Evento,1,12,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/antonio-reyes-flamenco-3440484/
"Concierto ""Impuesto"" a Javier Krahe",1 Evento,10,11,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-impuesto-a-javier-krahe-3409505/
Concierto de Navidad 2023,2 eventos,21,12,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-de-navidad-2023-3519972/
Concierto de Navidad 2023,2 eventos,22,12,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-de-navidad-2023-3519972/
Compás bolero,1 Evento,17,5,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/compas-bolero-3440675/
Jazz Mad Bones: Tributo a Glenn Miller,1 Evento,12,1,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/jazz-mad-bones-tributo-a-glenn-miller-3440611/
Niño Josele,1 Evento,1,3,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/nino-josele-3440667/
¨Canciones que no se extraviaron¨,1 Evento,19,1,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/canciones-que-no-se-extraviaron-3440661/
Cañizares Rutas sonoras: Paisajes de Iberia para dos guitarr,1 Evento,9,2,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/canizares-rutas-sonoras-paisajes-de-iberia-para-dos-guitarr-3440664/
“Ritual live”,1 Evento,23,2,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/ritual-live-3440666/
Rajiv Jayawer,1 Evento,26,4,2024,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/rajiv-jayawer-3440674/
"""Recital 2.0""",1 Evento,15,12,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/recital-2-0-3440609/
"""Suite Sefarad""",1 Evento,24,11,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/suite-sefarad-3440608/
Concierto Extraordinario,1 Evento,14,12,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-extraordinario-3515184/
Swinging Classics for Christmas,1 Evento,22,12,2023,"desde 15,00 €",https://www.entradas.com/artist/eventos-del-teatro-monumental/swinging-classics-for-christmas-3440610/
