artista,eventos,dia,mes,año,precios,enlaces
Mujeres Pop,1 Evento,10,11,2023,"desde 15,00 €",https://www.entradas.com/artist/conciertos-pluslive/mujeres-pop-3504916/
Fred de Palma,2 eventos,26,3,2024,"desde 25,00 €",https://www.entradas.com/artist/fred-de-palma/
Fred de Palma,2 eventos,27,3,2024,"desde 25,00 €",https://www.entradas.com/artist/fred-de-palma/
"Fran Perea ""1 más 1 son 20""",1 Evento,23,2,2024,"desde 25,00 €",https://www.entradas.com/artist/fran-perea/
Danza para Guitarra,1 Evento,9,12,2023,"desde 9,00 €",https://www.entradas.com/artist/danza-para-guitarra/
Invisible Tattoo,1 Evento,29,11,2023,"desde 18,00 €",https://www.entradas.com/artist/invisible-tatoo/
Footloosing,1 Evento,11,11,2023,"desde 15,00 €",https://www.entradas.com/artist/footlosing/
Apartamentos Acapulco + Cora Yako,1 Evento,1,12,2023,"desde 16,00 €",https://www.entradas.com/artist/ciclo-jaguar/apartamentos-acapulco-cora-yako-3477085/
Luceral + Cherry Pie,1 Evento,8,11,2023,"desde 15,00 €",https://www.entradas.com/artist/clubbing/luceral-cherry-pie-3523497/
La Serva Padrona - Aranjuez,1 Evento,25,11,2023,"desde 15,00 €",https://www.entradas.com/artist/la-serva-padrona-orquesta-martin-i-soler/
Momentos Alhambra: Rikas,1 Evento,14,12,2023,"desde 15,00 €",https://www.entradas.com/artist/momentos-alhambra/momentos-alhambra-rikas-3432438/
Aires de Persia,1 Evento,13,11,2023,"desde 23,00 €",https://www.entradas.com/artist/aires-de-persia-ensambles-javid-zarbang/
Diego Guerrero,1 Evento,15,12,2023,"desde 18,00 €",https://www.entradas.com/artist/diego-guerrero/
Luna Ki,1 Evento,25,4,2024,"desde 18,00 €",https://www.entradas.com/artist/luna-ki/
Kaze - Gira 2024,1 Evento,21,4,2024,"desde 22,00 €",https://www.entradas.com/artist/kaze/
Rupatrupa,1 Evento,17,11,2023,"desde 19,00 €",https://www.entradas.com/artist/rupatrupa/
"Mujer, inspiración y acción",1 Evento,19,11,2023,"desde 4,17 €",https://www.entradas.com/artist/mujer-inspiracion-y-accion/
The Music of Big Star + The Sadies,1 Evento,16,11,2023,"desde 28,00 €",https://www.entradas.com/artist/big-star/
The Greatest Love Of All,1 Evento,20,11,2023,"desde 25,00 €",https://www.entradas.com/artist/the-greatest-love-of-all/the-greatest-love-of-all-3418160/
Blues & Roots,1 Evento,26,11,2023,"desde 9,00 €",https://www.entradas.com/artist/blues-roots/
Impulso presenta: Danilo Plessow (Motor City Drum Ensemble) + Javi Frias & Roberto Tempo,1 Evento,10,11,2023,"desde 17,85 €",https://www.entradas.com/artist/danilo-plessow-motor-city-drum-ensemble/
Gran Gala Flamenco - Madrid,2 eventos,24,12,2023,"desde 35,00 €",https://www.entradas.com/artist/gran-gala-flamenco/gran-gala-flamenco-madrid-3139712/
Gran Gala Flamenco - Madrid,2 eventos,1,1,2024,"desde 35,00 €",https://www.entradas.com/artist/gran-gala-flamenco/gran-gala-flamenco-madrid-3139712/
Rolling Stones vs Beatles,1 Evento,17,11,2023,"desde 15,00 €",https://www.entradas.com/artist/conciertos-pluslive/rolling-stones-vs-beatles-3504917/
Lo + actual,1 Evento,1,12,2023,"desde 15,00 €",https://www.entradas.com/artist/conciertos-pluslive/lo-actual-3504780/
Homenaje a Pablo Milanés,1 Evento,24,3,2024,"desde 30,00 €",https://www.entradas.com/artist/homenaje-a-pablo-milanes/
Rawayana - ¿Quien trae las cornetas?,3 eventos,7,4,2024,"desde 35,00 €",https://www.entradas.com/artist/rawayana/
Rawayana - ¿Quien trae las cornetas?,3 eventos,10,4,2024,"desde 35,00 €",https://www.entradas.com/artist/rawayana/
Rhythm Of The Dance,1 Evento,12,2,2024,"desde 18,00 €",https://www.entradas.com/artist/rhythm-of-the-dance/
Eva Català Group,1 Evento,25,11,2023,"desde 3,25 €",https://www.entradas.com/artist/eva-catala-group/
The Other Side - A Pink Floyd Live Experience,2 eventos,24,11,2023,"desde 28,00 €",https://www.entradas.com/artist/the-other-side/
The Other Side - A Pink Floyd Live Experience,2 eventos,17,12,2023,"desde 28,00 €",https://www.entradas.com/artist/the-other-side/
VibranDo,1 Evento,17,12,2023,"desde 18,00 €",https://www.entradas.com/artist/vibrando/
Lina,1 Evento,12,3,2024,"desde 35,00 €",https://www.entradas.com/artist/lina/
"Marc Seguí - ""AAAAAA Tour""",1 Evento,20,4,2024,"desde 20,00 €",https://www.entradas.com/artist/marc-segui/marc-segui-aaaaaa-tour-3364225/
Giant Sand,1 Evento,26,11,2023,"desde 20,00 €",https://www.entradas.com/artist/ciclo-jaguar/giant-sand-3477104/
Ters - #LaFdeF,1 Evento,16,2,2024,"desde 22,00 €",https://www.entradas.com/artist/ters/
Discotizer Presenta - Cody Currie + Javi Frias,1 Evento,18,11,2023,"desde 15,00 €",https://www.entradas.com/artist/clubbing/discotizer-presenta-cody-currie-javi-frias-3518486/
Alain Perez & La Orquestra,1 Evento,23,12,2023,"desde 22,00 €",https://www.entradas.com/artist/alain-perez-la-orquestra/
Password - Sara Sánchez - Aranjuez,1 Evento,8,12,2023,"desde 16,00 €",https://www.entradas.com/artist/sara-sanchez/
José María Vitier,1 Evento,18,11,2023,"desde 12,00 €",https://www.entradas.com/artist/jose-maria-vitier/
Fila 8: Clásicos del Cine Moderno - Jazz & the City,1 Evento,18,11,2023,"desde 15,00 €",https://www.entradas.com/artist/fila-8-clasicos-del-cine-moderno/
Momentos Alhambra: Laura Misch,1 Evento,7,11,2023,"desde 18,00 €",https://www.entradas.com/artist/momentos-alhambra/momentos-alhambra-laura-misch-3432431/
Parov Stelar - Theater Tour,2 eventos,25,4,2024,"desde 40,00 €",https://www.entradas.com/artist/parov-stelar/
Parov Stelar - Theater Tour,2 eventos,26,4,2024,"desde 40,00 €",https://www.entradas.com/artist/parov-stelar/
Gala de Zarzuela en Navidad,1 Evento,17,12,2023,"desde 39,00 €",https://www.entradas.com/artist/gala-de-zarzuela-en-navidad/
Zetazen,1 Evento,26,11,2023,"desde 22,00 €",https://www.entradas.com/artist/zetazen/
Paula Koops,1 Evento,25,2,2024,"desde 20,00 €",https://www.entradas.com/artist/paula-koops/
Vic Mirallas + invitados,1 Evento,29,2,2024,"desde 15,00 €",https://www.entradas.com/artist/vic-mirallas/
"Homenaje a Morricone, Zimmer, Williams, Hisaishi",1 Evento,3,12,2023,"desde 45,00 €",https://www.entradas.com/artist/homenaje-a-morriconezimmerwilliamshisaishi/
Larkin Poe,1 Evento,8,11,2023,"desde 25,00 €",https://www.entradas.com/artist/larkin-poe/
Momentos Alhambra: Mammal Hands,1 Evento,18,11,2023,"desde 27,00 €",https://www.entradas.com/artist/momentos-alhambra/momentos-alhambra-mammal-hands-3432432/
El Negri ''Mi tiempo'',1 Evento,11,11,2023,"desde 20,00 €",https://www.entradas.com/artist/el-negri/
Ritmo y Poesía FEST,3 eventos,14,11,2023,"desde 7,00 €",https://www.entradas.com/artist/ritmo-y-poesia/
Ritmo y Poesía FEST,3 eventos,15,11,2023,"desde 7,00 €",https://www.entradas.com/artist/ritmo-y-poesia/
Atreyu,2 eventos,1,12,2023,"desde 23,00 €",https://www.entradas.com/artist/atreyu/
Atreyu,2 eventos,2,12,2023,"desde 23,00 €",https://www.entradas.com/artist/atreyu/
La Movida Madrileña,1 Evento,24,11,2023,"desde 15,00 €",https://www.entradas.com/artist/conciertos-pluslive/la-movida-madrilena-3504781/
Momentos Alhambra: Sunny War,1 Evento,5,11,2023,Actualmente no disponible,https://www.entradas.com/artist/momentos-alhambra/momentos-alhambra-sunny-war-3432421/
Noche de Música Española,1 Evento,19,11,2023,"desde 15,00 €",https://www.entradas.com/artist/noche-de-musica-espanola/
Oneus,1 Evento,7,11,2023,"desde 55,00 €",https://www.entradas.com/artist/oneus/
15 Tangos de historia - La Porteña Tango - Madrid,1 Evento,11,12,2023,"desde 20,00 €",https://www.entradas.com/artist/la-portena-tango/15-tangos-de-historia-la-portena-tango-madrid-3503920/
